
Ольга, май, Развлечения, 50
Ольга, май, Сбережения, 50
Ольга, май, Нерегулярные расходы, 25
Дарья, июнь, Повседневные расходы, 720
Дарья, июнь, Нерегулярные расходы, 200
Оля, октябрь, Повседневные расходы, 255
Оля, октябрь, Сбережения, 55
Дарья, март, Повседневные расходы, 250
Дарья, март, Повседневные расходы, 46
Дарья, март, Повседневные расходы, 270
Оля, январь, Повседневные расходы, 222
Оля, январь, Сбережения, 45
Оля, сентябрь, Повседневные расходы, 30
Оля, сентябрь, Сбережения, 5
Оля, сентябрь, Нерегулярные расходы, 4
Оля, сентябрь, Развлечения, 50
